objectid,treelatitude,treelongitude,centerlatitude,centerlongitude,dbh,species,creationdate,roadsidebydate,roadsidebycoord,isatcorrectsideofroad,truetreelongitude,truetreelatitude
58,467094.8424296144,258586.93603632879,467094.9597747483,258587.65752964054,13,1,11/14/2021 15:05,N/W,N/W,True,258584.75346506634,467094.48745180253
59,467089.30168236187,258586.9080202618,467089.48836082517,258588.06054800987,14,1,11/14/2021 15:05,N/W,N/W,True,258584.7091771523,467088.94552898215
60,467082.3144924299,258587.6943631494,467082.45797576295,258588.5783993748,15,1,11/14/2021 15:06,N/W,N/W,True,258585.47959517516,467081.955024931
61,467076.6926150041,258586.49874102813,467076.3415624306,258588.39770104794,13,1,11/14/2021 15:07,N/W,N/W,True,258584.3243344174,467077.0945882044
62,467069.8925273023,258586.92008919638,467069.6904989541,258588.0162487369,22,0,11/14/2021 15:08,N/W,N/W,True,258584.60163758826,467070.3198309306
63,467065.01719919586,258586.61957792664,467064.42883059685,258587.43931207,13,1,11/14/2021 15:09,N/W,N/W,True,258584.82316255153,467066.30658601236
64,467051.49626615405,258583.79432453017,467051.44072029216,258584.09791052315,15,1,11/14/2021 15:10,N/W,N/W,True,258581.5872135851,467051.90009203064
65,467045.78282582684,258582.9554646283,467045.63318519556,258583.76027982286,12,1,11/14/2021 15:10,N/W,N/W,True,258580.79744961672,467046.18406915676
66,467039.60898024694,258581.1221168575,467037.08238710253,258582.7637351348,20,0,11/14/2021 15:11,N/W,N/W,True,258579.85538092456,467041.5585968955
67,467033.22316373524,258579.15684643982,467032.11557338666,258579.8771036167,15,1,11/14/2021 15:12,N/W,N/W,True,258577.93364269464,467035.1041705561
68,467022.69872657175,258574.86444948384,467022.4205145817,258575.1487723966,12,1,11/14/2021 15:14,N/W,N/W,True,258573.29558191818,467024.2338746302
69,467016.30509865284,258568.10198927973,467012.81263699604,258571.6524481291,13,1,11/14/2021 15:14,N/W,N/W,True,258566.52557697566,467017.85576006334
70,467008.8413747806,258567.70841112756,467007.22813029704,258568.47972670358,11,1,11/14/2021 15:15,N/W,N/W,True,258566.76861162425,467010.80701168906
71,466924.4790162262,258464.12596996108,466923.5997235428,258464.2474374355,12,1,11/14/2021 15:34,N/W,N/W,True,258463.82560018686,466926.6533673935
72,466922.7558158905,258457.86594260423,466921.5414989497,258458.03354108537,10,1,11/14/2021 15:35,N/W,N/W,True,258457.5702798821,466924.89800864673
73,466920.548644732,258452.35755780517,466919.7002782627,258452.47476756736,16,1,11/14/2021 15:36,N/W,N/W,True,258452.0482556946,466922.78737924155
74,466920.9924639728,258446.90299727675,466918.5568729326,258446.94555143552,8,1,11/14/2021 15:36,N/W,N/W,True,258446.8657880223,466923.1221389413
75,466919.1670957498,258441.29195299948,466918.4912491184,258441.30394007696,13,1,11/14/2021 15:37,N/W,N/W,True,258441.25273958087,466921.377998025
76,466918.2846007255,258434.73067008247,466918.4147728459,258434.72865782288,14,1,11/14/2021 15:38,N/W,S/E,False,258434.69624049217,466920.5118346273
77,466920.0301761882,258429.7912854383,466918.23762961035,258429.8513534795,15,1,11/14/2021 15:39,N/W,N/W,True,258429.71613979858,466922.27266748034
78,466919.8328564684,258422.83813261587,466917.8627236883,258422.90412679932,10,1,11/14/2021 15:39,N/W,N/W,True,258422.76573525072,466921.9941442492
79,466918.3393816394,258416.49031383696,466917.5181052128,258416.5179843718,15,1,11/14/2021 15:40,N/W,N/W,True,258416.41476003808,466920.58185921697
80,466916.37406593224,258410.03630164993,466917.16692710406,258410.01012765378,12,1,11/14/2021 15:40,N/W,S/E,False,258409.96387958704,466918.56787085626
81,466919.067154767,258405.8650234301,466916.884714761,258405.95628998548,8,1,11/14/2021 15:41,N/W,N/W,True,258405.77602762528,466921.1952947405
82,466918.5263997084,258398.34298812674,466916.31292548665,258398.43554111943,14,1,11/14/2021 15:42,N/W,N/W,True,258398.24992998212,466920.75195501704
